,gender,Status,First_Reviewer,Second_Reviewer,First_Grade,Second_Grade,Target
145,1.0,11 класс,reviewer_7,reviewer_8,27.0,25,26.0
146,1.0,11 класс,reviewer_3,reviewer_7,30.0,30,30.0
147,1.0,9 класс,reviewer_6,reviewer_5,25.0,21,23.0
148,1.0,11 класс,reviewer_8,reviewer_9,27.0,26,26.5
149,1.0,9 класс,reviewer_6,reviewer_7,26.0,17,21.5
150,0.0,10 класс,reviewer_4,reviewer_5,25.0,25,25.0
151,1.0,11 класс,reviewer_6,reviewer_8,24.0,23,23.5
152,1.0,10 класс,reviewer_3,reviewer_7,26.0,24,25.0
153,0.0,11 класс,reviewer_8,reviewer_2,28.0,29,28.5
154,1.0,9 класс,reviewer_7,reviewer_9,22.0,29,25.5
155,0.0,Иное,reviewer_7,reviewer_5,15.0,23,19.0
156,0.0,11 класс,reviewer_3,reviewer_9,18.0,22,20.0
157,1.0,10 класс,reviewer_8,reviewer_2,29.0,28,28.5
158,1.0,11 класс,reviewer_6,reviewer_7,25.0,22,23.5
159,1.0,10 класс,reviewer_7,reviewer_8,27.0,29,28.0
160,1.0,11 класс,reviewer_2,reviewer_9,26.0,24,25.0
161,1.0,10 класс,reviewer_3,reviewer_7,21.0,20,20.5
162,1.0,10 класс,reviewer_3,reviewer_6,23.0,24,23.5
163,1.0,11 класс,reviewer_7,reviewer_3,19.0,17,18.0
164,0.0,11 класс,reviewer_7,reviewer_5,24.0,24,24.0
165,1.0,11 класс,reviewer_7,reviewer_9,23.0,24,23.5
166,0.0,11 класс,reviewer_4,reviewer_9,25.0,21,23.0
167,1.0,11 класс,reviewer_8,reviewer_5,19.0,22,20.5
168,1.0,11 класс,reviewer_7,reviewer_9,19.0,16,17.5
169,1.0,11 класс,reviewer_8,reviewer_9,30.0,25,27.5
170,1.0,Иное,reviewer_5,reviewer_6,22.0,22,22.0
171,0.0,11 класс,reviewer_6,reviewer_7,30.0,30,30.0
172,0.0,11 класс,reviewer_5,reviewer_6,24.0,24,24.0
173,1.0,10 класс,reviewer_3,reviewer_9,17.0,19,18.0
174,1.0,11 класс,reviewer_9,reviewer_3,24.0,23,23.5
175,1.0,11 класс,reviewer_3,reviewer_6,23.0,19,21.0
176,1.0,10 класс,reviewer_6,reviewer_4,24.0,27,25.5
177,1.0,10 класс,reviewer_6,reviewer_7,17.0,17,17.0
178,0.0,Иное,reviewer_3,reviewer_4,17.0,21,19.0
179,1.0,11 класс,reviewer_9,reviewer_7,19.0,19,19.0
